FIPS_Code,Alt FIPS Code,County_State,State,State Abbreviation,County,"County, State Abbreviation",County_Level_Index,Requiring all 4 Subindices,Excluding Collective Efficacy,Family_Unity,Community_Health,Institutional_Health,Collective_Efficacy
01027,1027,"Clay County, Alabama",Alabama,AL,Clay,"Clay County, AL",-0.46,-0.46,-0.26,-1.12,-0.04,0.44,-0.55
01029,1029,"Cleburne County, Alabama",Alabama,AL,Cleburne,"Cleburne County, AL",0.61,0.61,0.47,1.41,-0.33,-0.07,0.49
01031,1031,"Coffee County, Alabama",Alabama,AL,Coffee,"Coffee County, AL",-0.72,-0.72,-0.74,-0.68,-0.86,-0.16,-0.39
01033,1033,"Colbert County, Alabama",Alabama,AL,Colbert,"Colbert County, AL",-0.57,-0.57,-0.24,-0.08,-0.68,0.15,-1.05
01035,1035,"Conecuh County, Alabama",Alabama,AL,Conecuh,"Conecuh County, AL",,,,,-0.20,0.20,-1.66
01037,1037,"Coosa County, Alabama",Alabama,AL,Coosa,"Coosa County, AL",-0.39,-0.39,-0.61,-0.50,-0.31,-0.57,0.20
01039,1039,"Covington County, Alabama",Alabama,AL,Covington,"Covington County, AL",,,,,-0.43,-0.41,-0.14
01041,1041,"Crenshaw County, Alabama",Alabama,AL,Crenshaw,"Crenshaw County, AL",-0.61,-0.61,-0.16,-0.27,-0.18,0.03,-1.32
01043,1043,"Cullman County, Alabama",Alabama,AL,Cullman,"Cullman County, AL",0.21,0.21,0.04,0.50,-0.78,0.30,0.39
01045,1045,"Dale County, Alabama",Alabama,AL,Dale,"Dale County, AL",-0.76,-0.76,-0.74,0.06,-0.93,-0.77,-0.61
01047,1047,"Dallas County, Alabama",Alabama,AL,Dallas,"Dallas County, AL",-2.35,-2.35,-1.54,-3.70,-0.14,0.25,-2.73
01049,1049,"DeKalb County, Alabama",Alabama,AL,DeKalb,"DeKalb County, AL",-0.55,-0.55,-0.54,0.05,-0.88,-0.40,-0.44
01051,1051,"Elmore County, Alabama",Alabama,AL,Elmore,"Elmore County, AL",-0.25,-0.25,-0.25,-0.08,-0.97,0.38,-0.16
01053,1053,"Escambia County, Alabama",Alabama,AL,Escambia,"Escambia County, AL",,,,,-0.43,-0.39,-1.23
01055,1055,"Etowah County, Alabama",Alabama,AL,Etowah,"Etowah County, AL",-1.01,-1.01,-0.55,-0.63,-0.75,0.08,-1.54
01057,1057,"Fayette County, Alabama",Alabama,AL,Fayette,"Fayette County, AL",0.70,0.70,0.71,0.72,0.22,0.54,0.34
01059,1059,"Franklin County, Alabama",Alabama,AL,Franklin,"Franklin County, AL",-0.59,-0.59,-0.52,-0.32,-0.69,-0.20,-0.52
01061,1061,"Geneva County, Alabama",Alabama,AL,Geneva,"Geneva County, AL",-0.67,-0.67,-0.60,-0.86,-0.59,0.04,-0.50
01063,1063,"Greene County, Alabama",Alabama,AL,Greene,"Greene County, AL",-2.56,-2.56,-1.54,-3.66,-0.27,0.32,-3.31
01065,1065,"Hale County, Alabama",Alabama,AL,Hale,"Hale County, AL",-0.49,-0.49,-0.65,-2.01,0.00,0.40,0.27
01067,1067,"Henry County, Alabama",Alabama,AL,Henry,"Henry County, AL",0.00,0.00,0.02,0.79,-0.81,0.02,-0.17
01069,1069,"Houston County, Alabama",Alabama,AL,Houston,"Houston County, AL",-1.02,-1.02,-0.92,-1.22,-0.86,-0.04,-0.75
01071,1071,"Jackson County, Alabama",Alabama,AL,Jackson,"Jackson County, AL",-0.46,-0.46,-0.35,0.17,-0.79,-0.21,-0.60
01073,1073,"Jefferson County, Alabama",Alabama,AL,Jefferson,"Jefferson County, AL",-1.48,-1.48,-0.50,-1.10,-0.56,0.43,-2.85
01075,1075,"Lamar County, Alabama",Alabama,AL,Lamar,"Lamar County, AL",0.73,0.73,0.73,0.49,0.21,0.80,0.43
01077,1077,"Lauderdale County, Alabama",Alabama,AL,Lauderdale,"Lauderdale County, AL",0.14,0.14,0.22,0.21,0.39,-0.16,-0.12
01079,1079,"Lawrence County, Alabama",Alabama,AL,Lawrence,"Lawrence County, AL",-0.03,-0.03,-0.04,0.71,-1.01,0.14,-0.10
01081,1081,"Lee County, Alabama",Alabama,AL,Lee,"Lee County, AL",-0.62,-0.62,-0.75,-0.18,-1.10,-0.42,-0.15
01083,1083,"Limestone County, Alabama",Alabama,AL,Limestone,"Limestone County, AL",-0.01,-0.01,-0.29,0.19,-1.11,0.19,0.53
01085,1085,"Lowndes County, Alabama",Alabama,AL,Lowndes,"Lowndes County, AL",-1.50,-1.50,-0.85,-3.18,-0.09,1.14,-1.89
01087,1087,"Macon County, Alabama",Alabama,AL,Macon,"Macon County, AL",-2.08,-2.08,-1.31,-3.29,0.12,0.11,-2.54
01089,1089,"Madison County, Alabama",Alabama,AL,Madison,"Madison County, AL",-0.79,-0.79,-0.20,-0.02,-0.96,0.43,-1.75
01091,1091,"Marengo County, Alabama",Alabama,AL,Marengo,"Marengo County, AL",-1.26,-1.26,-0.88,-2.83,-0.11,0.78,-1.22
01093,1093,"Marion County, Alabama",Alabama,AL,Marion,"Marion County, AL",-0.20,-0.20,-0.18,0.19,-0.53,-0.10,-0.23
01095,1095,"Marshall County, Alabama",Alabama,AL,Marshall,"Marshall County, AL",-0.34,-0.34,-0.54,-0.14,-0.90,-0.20,0.17
01097,1097,"Mobile County, Alabama",Alabama,AL,Mobile,"Mobile County, AL",-1.19,-1.19,-0.76,-1.00,-0.78,0.01,-1.57
01099,1099,"Monroe County, Alabama",Alabama,AL,Monroe,"Monroe County, AL",-1.16,-1.16,-0.84,-1.47,-0.34,-0.13,-1.25
01101,1101,"Montgomery County, Alabama",Alabama,AL,Montgomery,"Montgomery County, AL",-1.03,-1.03,-0.84,-1.76,-0.45,0.22,-0.84
01103,1103,"Morgan County, Alabama",Alabama,AL,Morgan,"Morgan County, AL",0.03,0.03,-0.13,0.37,-0.86,0.14,0.28
01105,1105,"Perry County, Alabama",Alabama,AL,Perry,"Perry County, AL",-2.35,-2.35,-2.25,-4.93,-0.38,0.12,-1.13
01107,1107,"Pickens County, Alabama",Alabama,AL,Pickens,"Pickens County, AL",-0.55,-0.55,-0.70,-1.43,-0.06,-0.16,0.13
01109,1109,"Pike County, Alabama",Alabama,AL,Pike,"Pike County, AL",-1.23,-1.23,-1.06,-1.30,-0.50,-0.59,-1.05
01111,1111,"Randolph County, Alabama",Alabama,AL,Randolph,"Randolph County, AL",-0.13,-0.13,-0.29,-0.63,-0.23,0.12,0.32
01113,1113,"Russell County, Alabama",Alabama,AL,Russell,"Russell County, AL",-1.46,-1.46,-1.38,-1.27,-0.96,-0.85,-1.01
01115,1115,"St. Clair County, Alabama",Alabama,AL,St. Clair,"St. Clair County, AL",0.18,0.18,-0.02,1.09,-1.12,-0.04,0.36
01117,1117,"Shelby County, Alabama",Alabama,AL,Shelby,"Shelby County, AL",0.55,0.55,0.48,1.29,-1.14,0.80,0.34
01119,1119,"Sumter County, Alabama",Alabama,AL,Sumter,"Sumter County, AL",-1.56,-1.56,-1.27,-3.03,0.36,-0.26,-1.25
01121,1121,"Talladega County, Alabama",Alabama,AL,Talladega,"Talladega County, AL",-0.92,-0.92,-0.86,-0.98,-0.83,-0.17,-0.64
01123,1123,"Tallapoosa County, Alabama",Alabama,AL,Tallapoosa,"Tallapoosa County, AL",-1.02,-1.02,-0.70,-1.17,-0.53,0.05,-1.20
01125,1125,"Tuscaloosa County, Alabama",Alabama,AL,Tuscaloosa,"Tuscaloosa County, AL",-0.86,-0.86,-0.70,-0.53,-0.89,-0.19,-0.88
01127,1127,"Walker County, Alabama",Alabama,AL,Walker,"Walker County, AL",-0.81,-0.81,-0.59,-0.87,-0.57,0.03,-0.88
01129,1129,"Washington County, Alabama",Alabama,AL,Washington,"Washington County, AL",-0.29,-0.29,-0.30,-0.72,-0.10,0.07,-0.10
01131,1131,"Wilcox County, Alabama",Alabama,AL,Wilcox,"Wilcox County, AL",-1.08,-1.08,-0.82,-2.70,0.48,0.25,-0.89
01133,1133,"Winston County, Alabama",Alabama,AL,Winston,"Winston County, AL",-0.37,-0.37,-0.53,0.13,-0.66,-0.64,0.01
02013,2013,"Aleutians East Borough, Alaska",Alaska,AK,Aleutians East,"Aleutians East Borough, AK",-0.57,,-0.57,-1.15,0.22,-0.39,
02016,2016,"Aleutians West Census Area, Alaska",Alaska,AK,Aleutians West,"Aleutians West Census Area, AK",-0.01,-0.01,0.09,-0.08,0.58,-0.32,-0.24
02020,2020,"Anchorage Municipality, Alaska",Alaska,AK,Anchorage,"Anchorage Borough, AK",-0.55,-0.55,0.74,0.31,0.73,0.50,-3.05
02050,2050,"Bethel Census Area, Alaska",Alaska,AK,Bethel,"Bethel Census Area, AK",-0.24,,-0.24,-0.82,0.53,-0.29,
02060,2060,"Bristol Bay Borough, Alaska",Alaska,AK,Bristol Bay,"Bristol Bay Borough, AK",,,,-1.24,3.60,,0.92
02068,2068,"Denali Borough, Alaska",Alaska,AK,Denali,"Denali Borough, AK",1.20,,1.20,1.23,2.16,-0.68,
02070,2070,"Dillingham Census Area, Alaska",Alaska,AK,Dillingham,"Dillingham Census Area, AK",-2.80,-2.80,0.42,-0.43,1.57,-0.26,-8.42
02090,2090,"Fairbanks North Star Borough, Alaska",Alaska,AK,Fairbanks North Star,"Fairbanks North Star Borough, AK",0.83,,0.83,0.88,0.69,0.20,
02100,2100,"Haines Borough, Alaska",Alaska,AK,Haines,"Haines Borough, AK",2.08,2.08,2.53,1.63,4.37,-0.39,0.27
02105,2105,"Hoonah-Angoon Census Area, Alaska",Alaska,AK,Hoonah-Angoon,"Hoonah-Angoon Census Area, AK",0.36,,0.36,-1.37,2.74,-0.62,
02110,2110,"Juneau City and Borough, Alaska",Alaska,AK,Juneau,"Juneau Borough, AK",0.47,0.47,1.12,0.21,1.60,0.56,-1.03
02122,2122,"Kenai Peninsula Borough, Alaska",Alaska,AK,Kenai Peninsula,"Kenai Peninsula Borough, AK",0.65,,0.65,0.50,1.10,-0.19,
02130,2130,"Ketchikan Gateway Borough, Alaska",Alaska,AK,Ketchikan Gateway,"Ketchikan Gateway Borough, AK",0.28,0.28,0.69,-0.35,1.38,0.40,-0.61
02150,2150,"Kodiak Island Borough, Alaska",Alaska,AK,Kodiak Island,"Kodiak Island Borough, AK",1.14,,1.14,0.63,1.34,0.46,
02158,2158,"Kusilvak Census Area, Alaska",Alaska,AK,Kusilvak,"Kusilvak Census Area, AK",-0.51,-0.51,-1.18,-1.86,0.41,-1.18,1.22
02164,2164,"Lake and Peninsula Borough, Alaska",Alaska,AK,Lake and Peninsula,"Lake and Peninsula Borough, AK",,,,-1.98,2.00,,
02170,2170,"Matanuska-Susitna Borough, Alaska",Alaska,AK,Matanuska-Susitna,"Matanuska-Susitna Borough, AK",0.41,,0.41,0.67,0.36,-0.16,
02180,2180,"Nome Census Area, Alaska",Alaska,AK,Nome,"Nome Census Area, AK",-0.29,,-0.29,-1.37,0.91,-0.26,
02185,2185,"North Slope Borough, Alaska",Alaska,AK,North Slope,"North Slope Borough, AK",-1.46,-1.46,-0.58,-0.78,0.19,-0.72,-2.71
02188,2188,"Northwest Arctic Borough, Alaska",Alaska,AK,Northwest Arctic,"Northwest Arctic Borough, AK",-0.50,,-0.50,-1.47,0.54,-0.26,
02195,2195,"Petersburg Borough, Alaska",Alaska,AK,Petersburg,"Petersburg Borough, AK",,,,-0.22,0.52,,
02198,2198,"Prince of Wales-Hyder Census Area, Alaska",Alaska,AK,Prince of Wales-Hyder,"Prince of Wales-Hyder Census Area, AK",,,,-1.34,1.57,,
02220,2220,"Sitka City and Borough, Alaska",Alaska,AK,Sitka,"Sitka Borough, AK",1.17,1.17,1.15,0.29,2.01,0.17,0.79
02230,2230,"Skagway Municipality, Alaska",Alaska,AK,Skagway,"Skagway Municpality, AK",1.53,,1.53,-0.32,4.25,-0.55,
02240,2240,"Southeast Fairbanks Census Area, Alaska",Alaska,AK,Southeast Fairbanks,"Southeast Fairbanks Census Area, AK",0.51,,0.51,0.52,1.84,-1.17,
02261,2261,"Valdez-Cordova Census Area, Alaska",Alaska,AK,Valdez-Cordova,"Valdez-Cordova Census Area, AK",1.45,1.45,2.13,1.68,3.05,-0.03,-0.63
02275,2275,"Wrangell City and Borough, Alaska",Alaska,AK,Wrangell,"Wrangell City and Borough, AK",,,,-1.64,,,
02282,2282,"Yakutat City and Borough, Alaska",Alaska,AK,Yakutat,"Yakutat Borough, AK",,,,,2.44,-0.52,
02290,2290,"Yukon-Koyukuk Census Area, Alaska",Alaska,AK,Yukon-Koyukuk,"Yukon-Koyukuk Census Area, AK",,,,-1.55,1.87,,
04001,4001,"Apache County, Arizona",Arizona,AZ,Apache,"Apache County, AZ",-1.76,-1.76,-2.60,-2.01,-1.14,-2.49,0.67
04003,4003,"Cochise County, Arizona",Arizona,AZ,Cochise,"Cochise County, AZ",-1.28,-1.28,-1.18,-0.19,-0.81,-1.54,-1.14
04005,4005,"Coconino County, Arizona",Arizona,AZ,Coconino,"Coconino County, AZ",-1.25,-1.25,-1.45,-0.41,-0.88,-1.83,-0.47
04007,4007,"Gila County, Arizona",Arizona,AZ,Gila,"Gila County, AZ",-1.59,-1.59,-1.81,-1.25,-0.72,-1.96,-0.53
04009,4009,"Graham County, Arizona",Arizona,AZ,Graham,"Graham County, AZ",-1.54,-1.54,-1.62,-0.25,-1.01,-2.20,-0.96
04011,4011,"Greenlee County, Arizona",Arizona,AZ,Greenlee,"Greenlee County, AZ",-1.96,-1.96,-1.72,-0.16,-0.94,-2.53,-1.91
04012,4012,"La Paz County, Arizona",Arizona,AZ,La Paz,"La Paz County, AZ",-1.92,-1.92,-2.31,-0.61,-0.82,-3.44,-0.58
04013,4013,"Maricopa County, Arizona",Arizona,AZ,Maricopa,"Maricopa County, AZ",-1.29,-1.29,-1.34,-0.20,-1.36,-1.35,-0.81
04015,4015,"Mohave County, Arizona",Arizona,AZ,Mohave,"Mohave County, AZ",-1.59,-1.59,-2.22,-1.16,-1.34,-2.29,0.25
04017,4017,"Navajo County, Arizona",Arizona,AZ,Navajo,"Navajo County, AZ",-1.91,-1.91,-2.27,-1.37,-1.00,-2.53,-0.49
04019,4019,"Pima County, Arizona",Arizona,AZ,Pima,"Pima County, AZ",-1.47,-1.47,-1.44,-0.60,-1.21,-1.33,-1.06
04021,4021,"Pinal County, Arizona",Arizona,AZ,Pinal,"Pinal County, AZ",-1.26,-1.26,-1.84,0.06,-1.57,-2.40,0.21
04023,4023,"Santa Cruz County, Arizona",Arizona,AZ,Santa Cruz,"Santa Cruz County, AZ",-0.69,-0.69,-1.29,-0.25,-1.08,-1.45,0.70
04025,4025,"Yavapai County, Arizona",Arizona,AZ,Yavapai,"Yavapai County, AZ",-0.70,-0.70,-0.86,0.13,-0.85,-1.13,-0.23
04027,4027,"Yuma County, Arizona",Arizona,AZ,Yuma,"Yuma County, AZ",-1.39,-1.39,-1.60,0.28,-1.51,-2.17,-0.67
05001,5001,"Arkansas County, Arkansas",Arkansas,AR,Arkansas,"Arkansas County, AR",-1.20,-1.20,-0.94,-0.98,-0.09,-1.01,-1.26
05003,5003,"Ashley County, Arkansas",Arkansas,AR,Ashley,"Ashley County, AR",0.00,0.00,0.03,0.79,-0.11,-0.61,-0.21
05005,5005,"Baxter County, Arkansas",Arkansas,AR,Baxter,"Baxter County, AR",0.13,0.13,-0.14,-0.03,-0.60,0.23,0.63
05007,5007,"Benton County, Arkansas",Arkansas,AR,Benton,"Benton County, AR",0.12,0.12,0.06,1.22,-1.20,0.08,0.01
05009,5009,"Boone County, Arkansas",Arkansas,AR,Boone,"Boone County, AR",-0.19,-0.19,0.04,0.37,-0.41,0.06,-0.65
05011,5011,"Bradley County, Arkansas",Arkansas,AR,Bradley,"Bradley County, AR",-1.13,-1.13,-1.39,-1.78,-0.05,-1.25,-0.04
05013,5013,"Calhoun County, Arkansas",Arkansas,AR,Calhoun,"Calhoun County, AR",-0.81,-0.81,-1.19,-1.35,-0.31,-0.98,0.34
05015,5015,"Carroll County, Arkansas",Arkansas,AR,Carroll,"Carroll County, AR",-0.16,-0.16,-0.26,0.45,-0.63,-0.42,0.01
05017,5017,"Chicot County, Arkansas",Arkansas,AR,Chicot,"Chicot County, AR",-1.29,-1.29,-1.09,-1.43,-0.38,-0.65,-1.13
05019,5019,"Clark County, Arkansas",Arkansas,AR,Clark,"Clark County, AR",-0.54,-0.54,-0.55,-0.60,0.03,-0.65,-0.31
05021,5021,"Clay County, Arkansas",Arkansas,AR,Clay,"Clay County, AR",-0.52,-0.52,-0.85,-0.64,-0.59,-0.67,0.37
05023,5023,"Cleburne County, Arkansas",Arkansas,AR,Cleburne,"Cleburne County, AR",-0.02,-0.02,-0.07,0.46,-0.69,0.03,-0.01
05025,5025,"Cleveland County, Arkansas",Arkansas,AR,Cleveland,"Cleveland County, AR",-0.16,-0.16,-0.66,-0.94,-0.23,-0.35,1.01
05027,5027,"Columbia County, Arkansas",Arkansas,AR,Columbia,"Columbia County, AR",-0.98,-0.98,-1.26,-0.43,-0.39,-1.88,-0.13
05029,5029,"Conway County, Arkansas",Arkansas,AR,Conway,"Conway County, AR",-0.35,-0.35,-0.48,-0.32,-0.38,-0.39,0.05
05031,5031,"Craighead County, Arkansas",Arkansas,AR,Craighead,"Craighead County, AR",-1.01,-1.01,-1.01,-0.61,-1.10,-0.55,-0.66
05033,5033,"Crawford County, Arkansas",Arkansas,AR,Crawford,"Crawford County, AR",-0.61,-0.61,-0.64,0.14,-1.01,-0.56,-0.41
05035,5035,"Crittenden County, Arkansas",Arkansas,AR,Crittenden,"Crittenden County, AR",-3.55,-3.55,-1.80,-2.06,-1.17,-0.79,-5.74
05037,5037,"Cross County, Arkansas",Arkansas,AR,Cross,"Cross County, AR",-0.72,-0.72,-0.28,0.03,-0.51,-0.19,-1.42
05039,5039,"Dallas County, Arkansas",Arkansas,AR,Dallas,"Dallas County, AR",-0.63,-0.63,-0.37,0.02,0.08,-0.91,-1.00
05041,5041,"Desha County, Arkansas",Arkansas,AR,Desha,"Desha County, AR",-1.89,-1.89,-1.32,-2.28,0.21,-0.88,-2.19
05043,5043,"Drew County, Arkansas",Arkansas,AR,Drew,"Drew County, AR",-1.00,-1.00,-0.93,-0.76,-0.13,-1.14,-0.78
05045,5045,"Faulkner County, Arkansas",Arkansas,AR,Faulkner,"Faulkner County, AR",-0.42,-0.42,-0.44,0.49,-1.20,-0.29,-0.36
05047,5047,"Franklin County, Arkansas",Arkansas,AR,Franklin,"Franklin County, AR",-0.31,-0.31,-0.28,0.90,-0.84,-0.67,-0.44
05049,5049,"Fulton County, Arkansas",Arkansas,AR,Fulton,"Fulton County, AR",-0.23,-0.23,-0.51,0.15,-0.43,-0.83,0.33
05051,5051,"Garland County, Arkansas",Arkansas,AR,Garland,"Garland County, AR",-0.93,-0.93,-0.61,-0.59,-0.79,-0.05,-1.20
05053,5053,"Grant County, Arkansas",Arkansas,AR,Grant,"Grant County, AR",-0.21,-0.21,-0.38,0.38,-0.72,-0.52,0.12
05055,5055,"Greene County, Arkansas",Arkansas,AR,Greene,"Greene County, AR",-0.59,-0.59,-0.65,0.20,-1.04,-0.60,-0.35
05057,5057,"Hempstead County, Arkansas",Arkansas,AR,Hempstead,"Hempstead County, AR",-1.67,-1.67,-1.23,-1.05,-0.77,-0.90,-1.93
05059,5059,"Hot Spring County, Arkansas",Arkansas,AR,Hot Spring,"Hot Spring County, AR",-0.61,-0.61,-1.16,-0.07,-0.84,-1.58,0.64
05061,5061,"Howard County, Arkansas",Arkansas,AR,Howard,"Howard County, AR",-0.75,-0.75,-1.08,-1.41,-0.21,-0.80,0.31
05063,5063,"Independence County, Arkansas",Arkansas,AR,Independence,"Independence County, AR",-1.03,-1.03,-0.68,-0.44,-0.49,-0.59,-1.39
05065,5065,"Izard County, Arkansas",Arkansas,AR,Izard,"Izard County, AR",0.16,0.16,-0.04,0.87,-0.08,-0.84,0.33
05067,5067,"Jackson County, Arkansas",Arkansas,AR,Jackson,"Jackson County, AR",-1.55,-1.55,-1.36,-1.84,-0.31,-0.89,-1.23
05069,5069,"Jefferson County, Arkansas",Arkansas,AR,Jefferson,"Jefferson County, AR",-2.31,-2.31,-1.35,-1.98,-0.54,-0.54,-3.29
05071,5071,"Johnson County, Arkansas",Arkansas,AR,Johnson,"Johnson County, AR",-0.15,-0.15,-0.43,0.93,-0.95,-0.89,0.27
05073,5073,"Lafayette County, Arkansas",Arkansas,AR,Lafayette,"Lafayette County, AR",-1.47,-1.47,-1.85,-2.65,-0.74,-0.78,0.11
05075,5075,"Lawrence County, Arkansas",Arkansas,AR,Lawrence,"Lawrence County, AR",-0.04,-0.04,-0.37,0.44,-0.33,-0.90,0.54
05077,5077,"Lee County, Arkansas",Arkansas,AR,Lee,"Lee County, AR",-1.15,-1.15,-1.69,-1.50,-0.69,-1.52,0.47
05079,5079,"Lincoln County, Arkansas",Arkansas,AR,Lincoln,"Lincoln County, AR",-0.67,-0.67,-1.25,0.21,-0.99,-1.88,0.63
05081,5081,"Little River County, Arkansas",Arkansas,AR,Little River,"Little River County, AR",-0.29,-0.29,-0.42,0.02,-0.36,-0.60,0.03
05083,5083,"Logan County, Arkansas",Arkansas,AR,Logan,"Logan County, AR",-0.22,-0.22,-0.35,0.23,-0.16,-0.82,0.02
05085,5085,"Lonoke County, Arkansas",Arkansas,AR,Lonoke,"Lonoke County, AR",-0.33,-0.33,-0.35,0.90,-1.24,-0.44,-0.33
05087,5087,"Madison County, Arkansas",Arkansas,AR,Madison,"Madison County, AR",0.24,0.24,0.28,1.58,-0.71,-0.25,-0.17
05089,5089,"Marion County, Arkansas",Arkansas,AR,Marion,"Marion County, AR",-0.82,-0.82,-0.85,-0.72,-0.65,-0.55,-0.44
05091,5091,"Miller County, Arkansas",Arkansas,AR,Miller,"Miller County, AR",-1.83,-1.83,-1.07,-0.69,-1.16,-0.55,-2.74
05093,5093,"Mississippi County, Arkansas",Arkansas,AR,Mississippi,"Mississippi County, AR",-2.60,-2.60,-1.77,-2.13,-0.81,-1.01,-3.21
05095,5095,"Monroe County, Arkansas",Arkansas,AR,Monroe,"Monroe County, AR",-1.31,-1.31,-1.51,-2.89,0.14,-0.66,-0.12
05097,5097,"Montgomery County, Arkansas",Arkansas,AR,Montgomery,"Montgomery County, AR",-0.03,-0.03,-0.44,0.57,-0.44,-1.06,0.68
05099,5099,"Nevada County, Arkansas",Arkansas,AR,Nevada,"Nevada County, AR",-0.39,-0.39,-0.64,-0.02,-0.42,-0.95,0.18
05101,5101,"Newton County, Arkansas",Arkansas,AR,Newton,"Newton County, AR",-0.01,-0.01,0.00,0.56,-0.19,-0.39,-0.15
05103,5103,"Ouachita County, Arkansas",Arkansas,AR,Ouachita,"Ouachita County, AR",-0.90,-0.90,-0.77,-1.24,0.01,-0.53,-0.75
05105,5105,"Perry County, Arkansas",Arkansas,AR,Perry,"Perry County, AR",-0.54,-0.54,-0.41,0.84,-1.09,-0.64,-0.78
05107,5107,"Phillips County, Arkansas",Arkansas,AR,Phillips,"Phillips County, AR",-3.68,-3.68,-2.18,-3.38,-0.55,-0.95,-5.15
05109,5109,"Pike County, Arkansas",Arkansas,AR,Pike,"Pike County, AR",0.12,0.12,-0.19,0.74,-0.20,-0.93,0.56
05111,5111,"Poinsett County, Arkansas",Arkansas,AR,Poinsett,"Poinsett County, AR",-1.45,-1.45,-1.53,-1.81,-0.64,-0.97,-0.61
05113,5113,"Polk County, Arkansas",Arkansas,AR,Polk,"Polk County, AR",-0.23,-0.23,-0.30,0.07,-0.29,-0.47,-0.06
05115,5115,"Pope County, Arkansas",Arkansas,AR,Pope,"Pope County, AR",-0.41,-0.41,-0.51,0.13,-0.79,-0.49,-0.12
05117,5117,"Prairie County, Arkansas",Arkansas,AR,Prairie,"Prairie County, AR",-0.51,-0.51,-0.96,-0.73,-0.51,-0.88,0.62
05119,5119,"Pulaski County, Arkansas",Arkansas,AR,Pulaski,"Pulaski County, AR",-2.00,-2.00,-0.70,-1.10,-0.56,0.03,-3.88
05121,5121,"Randolph County, Arkansas",Arkansas,AR,Randolph,"Randolph County, AR",-0.62,-0.62,-1.07,-0.57,-0.54,-1.22,0.51
05123,5123,"St. Francis County, Arkansas",Arkansas,AR,St. Francis,"St. Francis County, AR",-2.12,-2.12,-1.96,-2.05,-0.88,-1.39,-1.55
05125,5125,"Saline County, Arkansas",Arkansas,AR,Saline,"Saline County, AR",-0.22,-0.22,-0.14,0.59,-1.27,0.29,-0.41
05127,5127,"Scott County, Arkansas",Arkansas,AR,Scott,"Scott County, AR",-0.53,-0.53,-0.70,-0.24,-0.13,-1.16,-0.04
05129,5129,"Searcy County, Arkansas",Arkansas,AR,Searcy,"Searcy County, AR",0.87,0.87,0.82,1.97,0.19,-0.33,0.41
05131,5131,"Sebastian County, Arkansas",Arkansas,AR,Sebastian,"Sebastian County, AR",-1.16,-1.16,-0.66,-0.21,-0.97,-0.32,-1.80
05133,5133,"Sevier County, Arkansas",Arkansas,AR,Sevier,"Sevier County, AR",-0.43,-0.43,-0.81,0.04,-0.78,-1.03,0.42
05135,5135,"Sharp County, Arkansas",Arkansas,AR,Sharp,"Sharp County, AR",0.29,0.29,-0.08,0.14,0.00,-0.35,0.91
05137,5137,"Stone County, Arkansas",Arkansas,AR,Stone,"Stone County, AR",-0.07,-0.07,-0.16,0.33,-0.32,-0.39,0.07
05139,5139,"Union County, Arkansas",Arkansas,AR,Union,"Union County, AR",-0.88,-0.88,-0.30,-0.61,-0.18,0.04,-1.71
05141,5141,"Van Buren County, Arkansas",Arkansas,AR,Van Buren,"Van Buren County, AR",-0.45,-0.45,-0.56,-0.18,-0.33,-0.74,-0.10
